OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),Outlier,TotalGHGEmissions,GHGEmissionsIntensity,%_GFAParking,%_GFABuilding,Nb_PropertyUseTypes,Building_age,%_LargestPropertyUseType
1,NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,12,88434,Hotel,88434.0,one_use,0.0,one_use,0.0,60.0,81.69999695,84.30000305,182.5,189.0,7226362.5,2003882.0,1156514.25,3946027.0,12764.5293,1276453.0,not_outlier,249.98,2.83,0.0,1.0,1,89,1.0
2,NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,11,103566,Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,0.0,950425.1875,3242851.0,51450.81641,5145082.0,not_outlier,295.86,2.86,0.1454531409922175,0.8545468590077825,3,20,0.8099183129598517
5,NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,10,61320,Hotel,61320.0,one_use,0.0,one_use,0.0,56.0,110.8000031,113.3000031,216.1999969,224.0,6794584.0,2214446.25,811525.3125,2768924.0,18112.13086,1811213.0,not_outlier,286.43,4.67,0.0,1.0,1,90,1.0
8,NonResidential,Hotel,98121.0,7,DOWNTOWN,1.0,18,175580,Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,75.0,114.8000031,118.6999969,211.3999939,215.6000061,14172606.0,0.0,1573448.625,5368607.0,88039.98438,8803998.0,not_outlier,505.01,2.88,0.3531153889964688,0.6468846110035311,3,36,0.7030698257204693
10,NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,11,83008,Hotel,81352.0,one_use,0.0,one_use,0.0,27.0,70.80000305,74.5,146.6000061,154.6999969,5758795.0,0.0,823919.875,2811215.0,29475.80078,2947580.0,not_outlier,176.14,2.12,0.0,1.0,1,90,0.9800501156515035
12,NonResidential,Hotel,98104.0,7,DOWNTOWN,1.0,15,163984,Hotel,163984.0,one_use,0.0,one_use,0.0,43.0,83.69999695,86.59999847,180.8999939,187.1999969,13723820.0,0.0,2138897.75,7297919.0,64259.0,6425900.0,not_outlier,392.16,2.39,0.0,1.0,1,112,1.0
15,NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,11,153163,Hotel,133884.0,one_use,0.0,one_use,0.0,30.0,119.5999985,124.3000031,228.1999969,233.0,16016644.0,5237165.5,1813489.875,6187627.0,45918.5,4591850.0,not_outlier,691.26,4.51,0.12587243655452035,0.8741275634454797,1,47,0.8741275634454797
16,NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,25,333176,Hotel,336640.0,one_use,0.0,one_use,0.0,36.0,80.0,80.40000153,199.0,199.3999939,26941110.0,5999360.5,5299838.5,18083049.0,28586.99805,2858700.0,not_outlier,740.97,2.22,0.18356964487237976,0.8164303551276202,1,18,1.0103969073402645
17,NonResidential,Hotel,98104.0,7,DOWNTOWN,1.0,9,65009,Hotel,65009.0,one_use,0.0,one_use,0.0,48.0,101.5,97.80000305,153.6000061,149.8000031,6596057.5,1656352.5,393610.6875,1343000.0,35967.05078,3596705.0,not_outlier,328.23,5.05,0.0,1.0,1,88,1.0
18,NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,33,315952,Hotel,295511.0,Parking,57600.0,one_use,0.0,58.0,75.5,76.19999695,179.8999939,180.6999969,22325364.0,4337738.5,4075083.0,13904183.0,40834.39844,4083440.0,not_outlier,648.62,2.05,0.18230617308958322,0.8176938269104168,2,36,0.9353034638172887
19,NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,11,92190,Hotel,67390.0,Parking,25200.0,one_use,0.0,35.0,159.5,165.8999939,297.3999939,303.8999939,10750010.0,4870847.5,1123203.125,3832369.0,20467.93359,2046793.0,not_outlier,511.39,5.55,0.2733485193621868,0.7266514806378133,2,94,0.7309903460245146
