BuildingType,PrimaryPropertyType,ZipCode,Neighborhood,Building_age,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,%_LargestPropertyUseType,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SourceEUI(kBtu/sf),%_GFAParking,%_GFABuilding,Nb_PropertyUseTypes
NonResidential,Hotel,98101.0,DOWNTOWN,89,1.0,12,88434,Hotel,88434.0,1.0,7226362.5,2003882.0,3946027.0,1276453.0,249.98,182.5,0.0,1.0,1
NonResidential,Hotel,98101.0,DOWNTOWN,20,1.0,11,103566,Hotel,83880.0,0.8099183129598517,8387933.0,0.0,3242851.0,5145082.0,295.86,176.1000061,0.1454531409922175,0.8545468590077825,3
NonResidential,Hotel,98101.0,DOWNTOWN,90,1.0,10,61320,Hotel,61320.0,1.0,6794584.0,2214446.25,2768924.0,1811213.0,286.43,216.1999969,0.0,1.0,1
NonResidential,Hotel,98121.0,DOWNTOWN,36,1.0,18,175580,Hotel,123445.0,0.7030698257204693,14172606.0,0.0,5368607.0,8803998.0,505.01,211.3999939,0.3531153889964688,0.6468846110035311,3
NonResidential,Hotel,98101.0,DOWNTOWN,90,1.0,11,83008,Hotel,81352.0,0.9800501156515035,5758795.0,0.0,2811215.0,2947580.0,176.14,146.6000061,0.0,1.0,1
NonResidential,Hotel,98104.0,DOWNTOWN,112,1.0,15,163984,Hotel,163984.0,1.0,13723820.0,0.0,7297919.0,6425900.0,392.16,180.8999939,0.0,1.0,1
NonResidential,Hotel,98101.0,DOWNTOWN,47,1.0,11,153163,Hotel,133884.0,0.8741275634454797,16016644.0,5237165.5,6187627.0,4591850.0,691.26,228.1999969,0.12587243655452035,0.8741275634454797,1
NonResidential,Hotel,98101.0,DOWNTOWN,18,1.0,25,333176,Hotel,336640.0,1.0103969073402645,26941110.0,5999360.5,18083049.0,2858700.0,740.97,199.0,0.18356964487237976,0.8164303551276202,1
NonResidential,Hotel,98104.0,DOWNTOWN,88,1.0,9,65009,Hotel,65009.0,1.0,6596057.5,1656352.5,1343000.0,3596705.0,328.23,153.6000061,0.0,1.0,1
NonResidential,Hotel,98101.0,DOWNTOWN,36,1.0,33,315952,Hotel,295511.0,0.9353034638172887,22325364.0,4337738.5,13904183.0,4083440.0,648.62,179.8999939,0.18230617308958322,0.8176938269104168,2
